1,Lehrain,5.1,842391,USERS:[],,,,
2,Laila,4.12,1293847,USERS:[],,,,
3,Main-Tumhara,2.14,563920,USERS:[],,,,
4,Tum-Hi-Ho,4.22,4321987,USERS:[],,,,
5,Kesariya,2.52,2783491,USERS:[],,,,
6,Dil-Diyan-Gallan,4.2,3892014,USERS:[],,,,
7,Agar-Tum-Saath-Ho,5.41,4512390,USERS:[],,,,
8,Chaiyya-Chaiyya,6.54,3128476,USERS:[],,,,
9,Kal-Ho-Naa-Ho,5.21,2983741,USERS:[],,,,
10,Kabira,3.43,1748293,USERS:[],,,,
11,Zaalima,4.59,2389475,USERS:[],,,,
12,Raataan-Lambiyan,3.5,1938472,USERS:[],,,,
13,Bekhayali,6.11,4029381,USERS:[],,,,
14,Tera-Ban-Jaunga,3.48,1673829,USERS:[],,,,
15,Shayad,4.07,2157384,USERS:[],,,,
16,Tum-Se-Hi,5.23,3561829,USERS:[],,,,
17,Pee-Loon,4.47,2473819,USERS:[],,,,
18,Kun-Faya-Kun,7.53,4982371,USERS:[],,,,
19,Nadaan-Parindey,6.26,4218374,USERS:[],,,,
20,Tum-Mile,5.44,2847391,USERS:[],,,,
21,Dil-Ibaadat,5.29,1738294,USERS:[],,,,
22,Tujhe-Kitna-Chahne-Lage,4.44,3129384,USERS:[],,,,
23,Humsafar,4.28,1928374,USERS:[],,,,
24,Ban-Ja-Rani,3.45,1482739,USERS:[],,,,
25,Bom-Diggy-Diggy,3.58,3672819,USERS:[],,,,
26,Dilbar,3.04,3892741,USERS:[],,,,
27,Garmi,3.04,4129384,USERS:[],,,,
28,Ghungroo,5.02,2981746,USERS:[],,,,
29,Nashe-Si-Chadh-Gayi,3.57,3567891,USERS:[],,,,
30,Ae-Dil-Hai-Mushkil,4.29,2748392,USERS:[],,,,
31,Bulleya,5.48,3182736,USERS:[],,,,
32,Channa-Mereya,4.49,3874629,USERS:[],,,,
33,Ilahi,3.48,1982734,USERS:[],,,,
34,Subhanallah,4.09,1657382,USERS:[],,,,
35,Iktara,4.13,1438294,USERS:[],,,,
36,Mast-Magan,4.4,2147382,USERS:[],,,,
37,Malang,4.47,2674839,USERS:[],,,,
38,Galliyan,5.4,3458291,USERS:[],,,,
39,Sun-Saathiya,3.58,1873629,USERS:[],,,,
40,Bezubaan,4.28,2093847,USERS:[],,,,
41,Kar-Gayi-Chull,3.07,3257391,USERS:[],,,,
42,Badri-Ki-Dulhania,3.26,2847392,USERS:[],,,,
43,Tamma-Tamma-Again,3.19,2638471,USERS:[],,,,
44,Lungi-Dance,4.36,3472819,USERS:[],,,,
45,First-Class,4.36,2983746,USERS:[],,,,
46,Kalank-Title-Track,5.11,2147392,USERS:[],,,,
47,Qaafirana,5.41,2389471,USERS:[],,,,
48,Namo-Namo,5.22,2764839,USERS:[],,,,
49,Gerua,5.45,3298471,USERS:[],,,,
50,Janam-Janam,3.58,2193847,USERS:[],,,,
51,Zingaat,3.46,2483746,USERS:[],,,,
52,Sairat-Zaala-Ji,6.09,1874638,USERS:[],,,,
53,Dhadak,3.28,2093846,USERS:[],,,,
54,Pani-Da-Rang,4,1658392,USERS:[],,,,
55,Nazm-Nazm,3.47,1547392,USERS:[],,,,
56,Sweety-Tera-Drama,2.27,1328473,USERS:[],,,,
57,Twist-Kamariya,2.25,1192837,USERS:[],,,,
58,Mileya-Mileya,4.22,1738291,USERS:[],,,,
59,Gulabi-Ankhen,3.14,2847391,USERS:[],,,,
60,Kya-Hua-Tera-Wada,3.54,1983746,USERS:[],,,,
61,Lag-Jaa-Gale,4.17,2374891,USERS:[],,,,
62,Mere-Sapno-Ki-Rani,4.17,2567382,USERS:[],,,,
